URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,0.07956769258139118,0.0,0.07956769258139118,0.38531696613888383,16.98076923076923,30.23782559456399,18.887437930133288,16.98076923076923,267,883,2.0407701019252547,3,6.694224235560589
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,0.09367375049193229,0.0,0.09367375049193229,0.36275088547815826,20.75,32.93172690763052,21.47269076305221,20.75,82,249,2.1526104417670684,2,7.461847389558233
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,0.09367375049193229,0.0,0.09367375049193229,0.36275088547815826,20.833333333333332,33.6,21.773333333333337,20.833333333333332,84,250,2.152,2,7.448
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,0.12798035298035296,0.0,0.12798035298035296,0.37360972360972355,21.0,33.33333333333333,21.733333333333334,21.0,84,252,2.1547619047619047,2,7.412698412698413
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,0.09367375049193229,0.0,0.09367375049193229,0.36275088547815826,20.833333333333332,34.0,21.933333333333334,20.833333333333332,85,250,2.176,2,7.492
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,0.09367375049193229,0.0,0.09367375049193229,0.36275088547815826,20.666666666666668,33.46774193548387,21.653763440860217,20.666666666666668,83,248,2.157258064516129,2,7.463709677419355
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,0.11645794681508967,0.0,0.11645794681508967,0.34930426716141,20.75,33.33333333333333,21.633333333333333,20.75,83,249,2.144578313253012,2,7.429718875502008
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,0.0858676046176046,0.0,0.0858676046176046,0.33252164502164505,20.75,34.13654618473896,21.954618473895586,20.75,85,249,2.1646586345381524,2,7.477911646586345
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,0.09367375049193229,0.0,0.09367375049193229,0.36275088547815826,18.285714285714285,34.375,21.064285714285717,18.285714285714285,88,256,2.2109375,2,7.58203125
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,0.09367375049193229,0.0,0.09367375049193229,0.36275088547815826,15.8125,33.59683794466403,19.763735177865613,15.8125,85,253,2.1818181818181817,2,7.628458498023716
